bioguide,thomas,govtrack,twitter,facebook,youtube_id,twitter_id,youtube,instagram,instagram_id
C000174,'00179',300019,SenatorCarper,tomcarper,UCgLnvbKwu4B3navofj6Qvvw,249787913,senatorcarper,,
C000141,'00174',400064,SenatorCardin,senatorbencardin,UCiQaJnMzlfzzG3VESgyZChA,109071031,senatorcardin,senatorcardin,
C000127,'00172',300018,SenatorCantwell,senatorcantwell,UCN52UDqKgvHRk39ncySrIMw,117501995,SenatorCantwell,,
C000059,'00165',400057,KenCalvert,'70063393423',UC5MEj7YOX_QdKoqD_HRxP3A,22545491,RepKenCalvert,repkencalvert,
B001277,'02076',412490,SenBlumenthal,SenBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,278124059,SenatorBlumenthal,,
B001275,'02018',412427,RepLarryBucshon,RepLarryBucshon,UC0bIliQs0LKZabNwvZ3gnhQ,234812598,RepLarryBucshon,,
B001274,'01987',412395,RepMoBrooks,RepMoBrooks,UCgsPSY0MpuQJq8vEqYUSt-g,237299871,RepMoBrooks,,
B001270,'01996',412404,RepKarenBass,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g,239949176,RepKarenBass,,
B001267,'01965',412330,SenatorBennet,senbennetco,UCXB3cljpMwTyCUyLr2ZVLow,224285242,SenatorBennet,SenBennetCO,
B001261,'01881',412251,SenJohnBarrasso,johnbarrasso,UC80PfiCAB2Fe1MFayWlR6GQ,202206694,barrassowyo,,
B001260,'01840',412196,VernBuchanan,CongressmanBuchanan,UCY4DEy41NxOTdcF8_XAVZvw,20467163,vernbuchanan,repvern,344865327
B001257,'01838',412250,RepGusBilirakis,GusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,26051676,RepGusBilirakis,gusbilirakis,
B001251,'01761',400616,GKButterfield,congressmangkbutterfield,UCbodCVgLfcbaep49L1M-mqA,432676344,GKBNC01,,
B001250,'01753',400029,RepRobBishop,RepRobBishop,UCJC2BXNGQEUom7Tp7FKfxlQ,148006729,CongressmanBishop,,
